ActivitySelection	活动安排问题
AdjBFSAndDFS		基于邻接链表的深度优先搜索和广度优先搜索
BellmanFord			BellmanFord单源最短路径算法
BinarySearchTree 	二叉搜索树
BubbleSort			冒泡排序
CutRod				钢管切割问题
Dijkstra			Dijkstra单源最短路径
FloydWarshall		FloydWarshall任意两点最短路径
FractionalKnapsack	分数背包问题
HeapSort			堆排序
HuffmanCode			Huffman编码
InserSort			插入排序
Knapsack 			0-1背包问题
LCSLENGTH			最长公共子序列
MatrixBFSAndDFS		基于邻接矩阵的深度优先搜索和广度优先搜索
MatrixChainOrder	矩阵链相乘
MaxFlow				最大流
MergeSort			归并排序
MSTKruskal			Kruskal最小生成树
MSTPrim				Prim最小生成树
MultiThreadMatrix	多线程矩阵相乘
OptimalBinarySearchTree    最优二叉搜索树
PriorityQueue 		优先队列
QuickSort			快速排序
RandomizeSelect		查找第i小的数
TupoSort			拓扑排序
NQueen				N后问题递归
NQueenD				N后问题迭代
MinMax				极大极小
AlphaBeta			使用Alpha-Beta改进的极大极小
